state,district,blackvap_share,nominate_dim1,party_code
NY,6,0.0366138665281745,-0.37,100
NY,7,0.10183435523545988,-0.547,100
NY,8,0.4153037010628433,-0.482,100
NY,9,0.42360247828677555,-0.606,100
NY,10,0.057878726680635144,-0.507,100
NY,11,0.0627520475275572,0.335,200
NY,12,0.04665007177947239,-0.387,100
NY,13,0.23585691174282358,-0.529,100
NY,14,0.16164862215160655,-0.33,100
NY,15,0.2996254490529066,-0.31,100
NY,16,0.20872808219746997,-0.357,100
NY,17,0.076195386619455,-0.414,100
NY,18,0.0996684165983444,-0.239,100
NY,19,0.03966043993040151,-0.233,100
NY,19,0.03966043993040151,-0.226,100
NY,20,0.08344453938294243,-0.416,100
NY,21,0.02536911301622211,0.307,200
NY,22,0.08143285406790353,0.464,200
NY,23,0.022697381208453733,0.269,200
NY,23,0.022697381208453733,0.545,200
NY,24,0.028731763517974344,0.185,200
NY,25,0.13413536943680332,-0.333,100
NY,26,0.16243600116456566,-0.348,100
OH,1,0.18350769474017076,0.542,200
OH,2,0.021207271533505684,0.527,200
OH,3,0.25055704968298514,-0.439,100
OH,4,0.048481434007677425,0.712,200
OH,5,0.03680751757432586,0.508,200
OH,6,0.0602715387407582,0.436,200
OH,7,0.02881239309094183,0.484,200
OH,8,0.1177669610564944,0.652,200
OH,9,0.11224142839712042,-0.341,100
OH,10,0.16372865892757713,0.265,200
OH,11,0.4178552680794502,-0.581,100
OH,11,0.4178552680794502,-0.466,100
OH,12,0.03628179411322103,0.462,200
OH,13,0.11991113642103705,-0.402,100
OH,14,0.048692011670327544,0.25,200
OH,15,0.09907862131486021,0.3,200
OH,15,0.09907862131486021,0.406,200
OK,1,0.08491562065324865,0.68,200
OK,2,0.031610882434936614,0.531,200
OK,3,0.05028627667426968,0.361,200
OK,4,0.07407919969949191,0.323,200
OK,5,0.11384398448909705,0.413,200
OR,1,0.006254532590430706,-0.4,100
OR,2,0.008588863700422094,0.474,200
OR,3,0.008453541296319738,-0.426,100
OR,4,0.012056256451218756,-0.427,100
OR,5,0.051009400253643714,-0.182,100
PA,1,0.037406168661727975,0.141,200
PA,2,0.23164881005617702,-0.381,100
PA,3,0.4812628601844717,-0.47,100
PA,4,0.07779753441558655,-0.443,100
PA,5,0.23014758677049477,-0.462,100
PA,6,0.05554874017733614,-0.261,100
PA,7,0.05122306319570654,-0.261,100
PA,8,0.058932560161987446,-0.344,100
PA,9,0.02274680297660418,0.492,200
PA,10,0.09496416525085988,0.685,200
PA,11,0.0324492562548552,0.455,200
PA,12,0.13607169742998446,0.498,200
PA,13,0.02295639040966585,0.58,200
PA,14,0.032536821522313915,0.446,200
PA,15,0.02161790923109757,0.335,200
PA,16,0.03996775182010497,0.379,200
PA,17,0.07310518410262656,-0.143,100
RI,1,0.05857316256962327,-0.389,100
RI,2,0.0360473469716603,-0.375,100
SC,1,0.16264026332854042,0.348,200
SC,2,0.23953489607967138,0.53,200
SC,3,0.16615677617625416,0.695,200
SC,4,0.1783171898704633,0.6,200
SC,5,0.23570475474701819,0.852,200
SC,6,0.4503268874965745,-0.467,100
SC,7,0.24296144115999116,0.558,200
TN,1,0.02153190099851766,0.678,200
TN,2,0.05480615548711736,0.666,200
TN,3,0.0961312588028894,0.432,200
TN,4,0.08926189795723949,0.578,200
TN,5,0.11281596467781926,-0.164,100
TN,6,0.08937583323233547,0.661,200
TN,7,0.1546925116935989,0.671,200
TN,8,0.17533421080234277,0.542,200
TN,9,0.5766593224539402,-0.389,100
TX,1,0.17281047150049866,0.644,200
TX,2,0.10929961944971249,0.436,200
TX,3,0.0907502242489002,0.581,200
TX,4,0.08872600673567636,0.714,200
TX,5,0.1315317519970634,0.717,200
TX,6,0.13584759064374347,0.711,200
TX,6,0.13584759064374347,0.511,200
TX,7,0.17986695726206944,-0.523,100
TX,8,0.11831154991436987,0.52,200
TX,9,0.36581729057941625,-0.447,100
TX,10,0.09404017298988207,0.411,200
TX,11,0.10532161101611966,0.634,200
TX,12,0.10678310372939437,0.403,200
TX,13,0.06516709004492212,0.785,200
TX,14,0.15137613113097736,0.72,200
TX,15,0.011552578089051047,-0.388,100
TX,16,0.029637836838061635,-0.482,100
TX,17,0.1483030841477345,0.584,200
TX,18,0.3263211095398899,-0.459,100
TX,19,0.06411438557908906,0.643,200
TX,20,0.05684705063511397,-0.401,100
TX,21,0.03419587029106663,0.8,200
TX,22,0.11058700398794594,0.611,200
TX,23,0.036619936355035694,0.35,200
TX,24,0.06689368103279517,0.606,200
TX,25,0.11236345164815806,0.594,200
TX,26,0.0864281315368471,0.565,200
TX,27,0.04282725330162086,0.692,200
TX,28,0.04767260411939035,-0.225,100
TX,29,0.13508855701732722,-0.771,100
TX,30,0.4009750762101762,-0.485,100
TX,31,0.07478442516579657,0.487,200
TX,32,0.18718411582545208,-0.422,100
TX,33,0.19205103469285617,-0.408,100
TX,34,0.005021200212740811,-0.311,100
TX,34,0.005021200212740811,0.336,200
TX,35,0.11888121436166309,-0.403,100
TX,36,0.1185332414044487,0.708,200
UT,1,0.011582465415365003,0.369,200
UT,2,0.013985895922918871,0.499,200
UT,3,0.006724741677688756,0.452,200
UT,4,0.01140872118886506,0.452,200
VA,1,0.12942037126546396,0.447,200
VA,2,0.21839572122668618,-0.206,100
VA,3,0.42125076451599186,-0.451,100
VA,4,0.39883341326199767,-0.381,100
VA,5,0.20481722492264115,0.8,200
VA,6,0.07547915304790005,0.716,200
VA,7,0.19995761763243208,-0.196,100
VA,8,0.12335826566937322,-0.394,100
VA,9,0.05694713523656681,0.509,200
VA,10,0.08448047650562542,-0.384,100
VA,11,0.07998111536145232,-0.309,100
WA,1,0.02506334729102115,-0.295,100
WA,2,0.02408855015582011,-0.365,100
WA,3,0.016065353331614574,0.336,200
WA,4,0.008854435027082148,0.317,200
WA,5,0.01710352921122162,0.436,200
WA,6,0.0339052294126223,-0.316,100
WA,7,0.045233462290393746,-0.614,100
WA,8,0.01896786604233413,-0.276,100
WA,9,0.11276273260166907,-0.291,100
WA,10,0.06687002042555494,-0.446,100
WI,1,0.05993145623336179,0.42,200
WI,2,0.037087023903605555,-0.523,100
WI,3,0.011883988569046508,-0.26,100
WI,4,0.29169243565818936,-0.521,100
WI,5,0.014679941038590726,0.6,200
WI,6,0.020923683131138567,0.599,200
WI,7,0.006551697391214417,0.642,200
WI,8,0.01475650284343702,0.437,200
WV,1,0.04057528343593943,0.3,200
WV,2,0.03201533635413036,0.568,200
